Full Length,Shoulder,Bust,Waist,Half Length,Bust Length,Hip Length 1,Hip Length 2,Hip,Knee Length,Round Knee,Crotch Line,Crotch Extension,Bust Span,Lap,Long Sleeve Length,Long Sleeve Round,Short Sleeve Length,Short Sleeve Round,3/4 Sleeve Length,3/4 Sleeve Round,Cap Sleeve Length,Cap Sleeve Round
56.5,17.0,40.0,35.0,16.5,11.5,24.5,8,40.0,21,8.5,9.0,2.0,4.0,23.0,22.75,6,8,9,17.06,8,4.33,7
57.5,17.0,45.0,43.0,16.5,12.75,25.5,9,50.0,22,11.0,11.5,2.5,4.62,28.0,23.25,7,8,13,17.44,11,4.75,11
56.5,16.0,36.5,30.0,16.5,10.62,24.5,8,41.0,21,8.75,9.25,2.05,3.56,23.5,23.25,5,8,6,17.44,6,4.04,4
56.5,16.0,42.0,39.0,16.5,12.0,24.5,8,43.0,21,9.25,9.75,2.15,4.25,24.5,23.25,6,8,12,17.44,9,4.5,10
56.0,16.0,37.0,31.0,16.0,10.75,24.0,8,42.0,21,9.0,9.5,2.1,3.62,24.0,23.0,5,8,6,17.25,5,4.08,4
55.0,15.0,35.0,32.0,15.0,10.25,23.0,8,40.0,21,8.5,9.0,2.0,3.38,23.0,23.0,6,8,9,17.25,7,3.92,7
58.0,17.0,41.0,42.0,17.0,11.75,26.0,9,47.0,22,10.25,10.75,2.35,4.12,26.5,23.5,7,8,13,17.62,12,4.42,11
57.0,15.0,38.0,34.0,17.0,11.0,25.0,8,42.0,21,9.0,9.5,2.1,3.75,24.0,24.0,5,8,9,18.0,7,4.17,7
57.0,17.0,43.0,42.0,17.0,12.25,25.0,8,45.0,21,9.75,10.25,2.25,4.38,25.5,23.0,8,8,14,17.25,10,4.58,12
56.0,16.0,35.0,31.0,16.0,10.25,24.0,8,40.0,21,8.5,9.0,2.0,3.38,23.0,23.0,5,8,7,17.25,6,3.92,5
57.0,13.0,37.0,31.5,17.0,10.75,25.0,8,42.0,21,9.0,9.5,2.1,3.62,24.0,25.0,10,8,18,18.75,13,4.08,16
56.0,16.0,37.0,30.0,16.0,10.75,24.0,8,42.0,21,9.0,9.5,2.1,3.62,24.0,23.0,5,8,6,17.25,5,4.08,4
55.5,16.5,40.5,38.0,15.5,11.62,23.5,8,44.0,21,9.5,10.0,2.2,4.06,25.0,22.5,6,8,12,16.88,10,4.38,10
55.0,15.0,37.0,35.0,15.0,10.75,23.0,8,39.0,21,8.25,8.75,1.95,3.62,22.5,23.0,5,8,8,17.25,8,4.08,6
56.0,14.0,38.0,31.0,16.0,11.0,24.0,8,40.0,21,8.5,9.0,2.0,3.75,23.0,24.0,5,8,7,18.0,6,4.17,5
56.5,16.5,43.0,36.0,16.5,12.25,24.5,8,46.0,21,10.0,10.5,2.3,4.38,26.0,23.0,6,8,13,17.25,9,4.58,11
59.0,16.0,40.5,38.0,18.0,11.62,27.0,9,47.0,22,10.25,10.75,2.35,4.06,26.5,24.5,6,8,13,18.38,10,4.38,11
59.0,17.0,43.5,40.0,18.0,12.38,27.0,9,47.0,22,10.25,10.75,2.35,4.44,26.5,24.0,8,8,13,18.0,12,4.62,11
56.0,13.5,34.0,28.0,16.0,10.0,24.0,8,39.0,21,8.25,8.75,1.95,3.25,22.5,24.25,5,8,7,18.19,6,3.83,5
55.0,14.0,35.0,29.0,15.0,10.25,23.0,8,42.0,21,9.0,9.5,2.1,3.38,24.0,23.5,5,8,6,17.62,5,3.92,4
57.0,15.0,39.0,37.0,17.0,11.25,25.0,8,44.0,21,9.5,10.0,2.2,3.88,25.0,24.0,6,8,12,18.0,10,4.25,10
56.5,16.0,40.0,38.0,16.5,11.5,24.5,8,45.0,21,9.75,10.25,2.25,4.0,25.5,23.25,6,8,12,17.44,10,4.33,10
56.0,14.5,34.0,29.0,16.0,10.0,24.0,8,41.0,21,8.75,9.25,2.05,3.25,23.5,23.75,5,8,7,17.81,5,3.83,5
55.5,14.5,37.5,33.0,15.5,10.88,23.5,8,39.0,21,8.25,8.75,1.95,3.69,22.5,23.5,6,8,9,17.62,8,4.12,7
59.0,17.0,42.0,41.0,18.0,12.0,27.0,9,50.0,22,11.0,11.5,2.5,4.25,28.0,24.0,8,8,14,18.0,12,4.5,12
53.0,12.0,24.0,23.5,13.0,7.5,21.0,8,30.0,21,6.0,6.5,1.5,2.0,18.0,23.5,5,8,7,17.62,5,3.0,5
54.0,14.0,33.0,27.0,14.0,9.75,22.0,8,35.0,21,7.25,7.75,1.75,3.12,20.5,23.0,5,8,7,17.25,6,3.75,5
54.0,15.0,30.0,25.0,14.0,9.0,22.0,8,35.0,21,7.25,7.75,1.75,2.75,20.5,22.5,5,8,7,16.88,5,3.5,5
57.0,16.5,38.0,33.0,17.0,11.0,25.0,8,42.0,21,9.0,9.5,2.1,3.75,24.0,23.25,6,8,9,17.44,7,4.17,7
56.0,16.0,37.0,32.0,16.0,10.75,24.0,8,39.0,21,8.25,8.75,1.95,3.62,22.5,23.0,6,8,8,17.25,7,4.08,6
58.0,17.0,42.0,41.0,17.0,12.0,26.0,9,49.0,22,10.75,11.25,2.45,4.25,27.5,23.5,7,8,14,17.62,12,4.5,12
56.0,15.0,39.0,37.0,16.0,11.25,24.0,8,44.0,21,9.5,10.0,2.2,3.88,25.0,23.5,6,8,13,17.62,9,4.25,11
55.0,14.5,36.0,28.0,15.0,10.5,23.0,8,40.0,21,8.5,9.0,2.0,3.5,23.0,23.25,5,8,6,17.44,6,4.0,4
57.0,16.0,40.5,36.0,16.0,11.62,25.0,9,49.0,22,10.75,11.25,2.45,4.06,27.5,23.5,6,8,12,17.62,9,4.38,10
58.0,15.0,42.0,35.0,18.0,12.0,26.0,8,43.0,21,9.25,9.75,2.15,4.25,24.5,24.5,6,8,9,18.38,7,4.5,7
58.5,15.5,42.0,35.0,18.5,12.0,26.5,8,45.0,21,9.75,10.25,2.25,4.25,25.5,24.5,5,8,8,18.38,7,4.5,6
56.0,17.0,37.0,36.0,16.0,10.75,24.0,8,43.0,21,9.25,9.75,2.15,3.62,24.5,22.5,6,8,12,16.88,10,4.08,10
56.0,16.0,41.0,39.0,15.0,11.75,24.0,9,48.0,22,10.5,11.0,2.4,4.12,27.0,23.0,6,8,12,17.25,10,4.42,10
55.5,15.0,35.0,29.0,15.5,10.25,23.5,8,36.0,21,7.5,8.0,1.8,3.38,21.0,23.25,5,8,7,17.44,6,3.92,5
56.0,16.0,38.0,34.0,16.0,11.0,24.0,8,41.0,21,8.75,9.25,2.05,3.75,23.5,23.0,5,8,8,17.25,8,4.17,6
56.0,15.5,40.0,37.0,16.0,11.5,24.0,8,43.0,21,9.25,9.75,2.15,4.0,24.5,23.25,6,8,13,17.44,10,4.33,11
54.5,16.0,43.0,42.0,14.5,12.25,22.5,8,46.0,21,10.0,10.5,2.3,4.38,26.0,22.25,7,8,15,16.69,10,4.58,13
55.0,13.5,32.0,29.0,15.0,9.5,23.0,8,36.0,21,7.5,8.0,1.8,3.0,21.0,23.75,5,8,6,17.81,6,3.67,4
59.0,15.0,41.0,35.0,18.0,11.75,27.0,9,50.0,22,11.0,11.5,2.5,4.12,28.0,25.0,5,8,9,18.75,8,4.42,7
57.0,17.0,41.0,38.0,17.0,11.75,25.0,8,42.0,21,9.0,9.5,2.1,4.12,24.0,23.0,6,8,12,17.25,9,4.42,10
57.0,16.0,40.0,37.0,16.0,11.5,25.0,9,47.0,22,10.25,10.75,2.35,4.0,26.5,23.5,6,8,13,17.62,9,4.33,11
56.0,15.0,33.0,29.0,16.0,9.75,24.0,8,37.0,21,7.75,8.25,1.85,3.12,21.5,23.5,5,8,6,17.62,6,3.75,4
56.0,15.0,35.0,32.0,16.0,10.25,24.0,8,40.0,21,8.5,9.0,2.0,3.38,23.0,23.5,6,8,9,17.62,7,3.92,7
56.0,15.0,35.0,33.0,16.0,10.25,24.0,8,42.0,21,9.0,9.5,2.1,3.38,24.0,23.5,6,8,9,17.62,7,3.92,7
56.0,15.0,31.0,27.0,16.0,9.25,24.0,8,36.0,21,7.5,8.0,1.8,2.88,21.0,23.5,5,8,7,17.62,6,3.58,5
57.5,16.0,41.0,38.0,16.5,11.75,25.5,9,48.0,22,10.5,11.0,2.4,4.12,27.0,23.75,6,8,13,17.81,9,4.42,11
56.0,13.5,32.0,28.0,16.0,9.5,24.0,8,38.0,21,8.0,8.5,1.9,3.0,22.0,24.25,5,8,6,18.19,5,3.67,4
56.0,16.0,32.0,28.0,16.0,9.5,24.0,8,38.0,21,8.0,8.5,1.9,3.0,22.0,23.0,5,8,7,17.25,6,3.67,5
55.0,14.0,33.0,27.0,15.0,9.75,23.0,8,37.0,21,7.75,8.25,1.85,3.12,21.5,23.5,5,8,7,17.62,6,3.75,5
56.0,15.0,37.0,31.0,16.0,10.75,24.0,8,42.0,21,9.0,9.5,2.1,3.62,24.0,23.5,5,8,6,17.62,6,4.08,4
56.0,15.0,36.0,28.0,16.0,10.5,24.0,8,40.0,21,8.5,9.0,2.0,3.5,23.0,23.5,5,8,7,17.62,6,4.0,5
56.0,15.0,38.0,37.0,16.0,11.0,24.0,8,41.0,21,8.75,9.25,2.05,3.75,23.5,23.5,6,8,12,17.62,9,4.17,10
56.5,16.0,33.0,32.0,16.5,9.75,24.5,8,46.0,21,10.0,10.5,2.3,3.12,26.0,23.25,6,8,8,17.44,7,3.75,6
56.0,16.0,38.0,32.0,16.0,11.0,24.0,8,42.0,21,9.0,9.5,2.1,3.75,24.0,23.0,5,8,9,17.25,8,4.17,7
58.0,16.0,40.5,34.0,17.0,11.62,26.0,9,47.0,22,10.25,10.75,2.35,4.06,26.5,24.0,5,8,8,18.0,8,4.38,6
59.0,16.0,42.5,34.0,18.0,12.12,27.0,9,50.5,22,11.125,11.625,2.525,4.31,28.25,24.5,5,8,9,18.38,8,4.54,7
57.0,16.0,40.5,35.0,17.0,11.62,25.0,8,43.0,21,9.25,9.75,2.15,4.06,24.5,23.5,5,8,9,17.62,7,4.38,7
57.0,17.0,41.0,34.0,17.0,11.75,25.0,8,45.0,21,9.75,10.25,2.25,4.12,25.5,23.0,5,8,8,17.25,8,4.42,6
57.5,16.0,41.0,37.5,17.5,11.75,25.5,8,46.0,21,10.0,10.5,2.3,4.12,26.0,23.75,6,8,12,17.81,10,4.42,10
59.5,16.5,46.0,44.0,18.5,13.0,27.5,9,49.0,22,10.75,11.25,2.45,4.75,27.5,24.5,7,8,13,18.38,10,4.83,11
58.0,17.0,40.0,41.0,17.0,11.5,26.0,9,47.0,22,10.25,10.75,2.35,4.0,26.5,23.5,8,8,14,17.62,11,4.33,12
57.0,16.5,42.5,42.0,17.0,12.12,25.0,8,45.0,21,9.75,10.25,2.25,4.31,25.5,23.25,8,8,14,17.44,12,4.54,12
58.0,18.0,42.0,36.0,17.0,12.0,26.0,9,48.0,22,10.5,11.0,2.4,4.25,27.0,23.0,6,8,12,17.25,10,4.5,10
56.0,16.0,36.0,31.0,16.0,10.5,24.0,8,42.0,21,9.0,9.5,2.1,3.5,24.0,23.0,5,8,7,17.25,5,4.0,5
58.0,17.0,42.0,40.0,18.0,12.0,26.0,8,45.0,21,9.75,10.25,2.25,4.25,25.5,23.5,8,8,13,17.62,10,4.5,11
57.0,16.0,42.0,41.0,16.0,12.0,25.0,9,47.0,22,10.25,10.75,2.35,4.25,26.5,23.5,8,8,14,17.62,11,4.5,12
55.5,15.0,35.0,30.0,15.5,10.25,23.5,8,39.0,21,8.25,8.75,1.95,3.38,22.5,23.25,5,8,7,17.44,5,3.92,5
58.5,17.0,42.0,42.0,17.5,12.0,26.5,9,50.0,22,11.0,11.5,2.5,4.25,28.0,23.75,7,8,14,17.81,10,4.5,12
55.0,15.0,23.5,29.0,15.0,7.38,23.0,8,39.0,21,8.25,8.75,1.95,1.94,22.5,23.0,5,8,7,17.25,5,2.96,5
59.0,15.0,43.0,41.0,18.0,12.25,27.0,9,48.0,22,10.5,11.0,2.4,4.38,27.0,25.0,8,8,13,18.75,10,4.58,11
58.0,17.0,45.0,37.0,17.0,12.75,26.0,9,48.0,22,10.5,11.0,2.4,4.62,27.0,23.5,6,8,13,17.62,9,4.75,11
59.5,18.5,48.0,44.0,18.5,13.5,27.5,9,50.0,22,11.0,11.5,2.5,5.0,28.0,23.5,7,8,14,17.62,11,5.0,12
56.0,16.0,40.0,36.0,16.0,11.5,24.0,8,46.0,21,10.0,10.5,2.3,4.0,26.0,23.0,6,8,13,17.25,10,4.33,11
58.5,17.0,47.0,41.0,17.5,13.25,26.5,9,50.0,22,11.0,11.5,2.5,4.88,28.0,23.75,7,8,15,17.81,12,4.92,13
55.0,14.0,34.0,29.0,15.0,10.0,23.0,8,39.0,21,8.25,8.75,1.95,3.25,22.5,23.5,5,8,7,17.62,5,3.83,5
55.0,14.5,34.5,28.0,15.0,10.12,23.0,8,37.0,21,7.75,8.25,1.85,3.31,21.5,23.25,5,8,7,17.44,6,3.88,5
57.0,16.0,35.0,33.0,17.0,10.25,25.0,8,39.0,21,8.25,8.75,1.95,3.38,22.5,23.5,5,8,9,17.62,8,3.92,7
56.0,15.5,41.0,38.0,16.0,11.75,24.0,8,43.0,21,9.25,9.75,2.15,4.12,24.5,23.25,6,8,13,17.44,9,4.42,11
55.0,15.0,36.0,34.0,15.0,10.5,23.0,8,43.0,21,9.25,9.75,2.15,3.5,24.5,23.0,5,8,8,17.25,7,4.0,6
56.0,15.0,39.0,34.0,16.0,11.25,24.0,8,43.0,21,9.25,9.75,2.15,3.88,24.5,23.5,6,8,8,17.62,7,4.25,6
57.0,17.0,36.0,30.0,17.0,10.5,25.0,8,40.0,21,8.5,9.0,2.0,3.5,23.0,23.0,5,8,6,17.25,6,4.0,4
55.0,15.0,36.0,31.0,15.0,10.5,23.0,8,42.0,21,9.0,9.5,2.1,3.5,24.0,23.0,5,8,6,17.25,6,4.0,4
56.0,15.0,32.0,28.0,16.0,9.5,24.0,8,38.0,21,8.0,8.5,1.9,3.0,22.0,23.5,5,8,6,17.62,5,3.67,4
56.0,16.0,31.0,27.0,16.0,9.25,24.0,8,36.0,21,7.5,8.0,1.8,2.88,21.0,23.0,5,8,7,17.25,6,3.58,5
56.0,16.0,34.0,30.0,16.0,10.0,24.0,8,39.0,21,8.25,8.75,1.95,3.25,22.5,23.0,5,8,7,17.25,6,3.83,5
55.0,14.0,33.0,27.0,15.0,9.75,23.0,8,36.0,21,7.5,8.0,1.8,3.12,21.0,23.5,5,8,7,17.62,6,3.75,5
56.0,14.0,34.0,27.0,16.0,10.0,24.0,8,36.0,21,7.5,8.0,1.8,3.25,21.0,24.0,5,8,6,18.0,6,3.83,4
61.0,17.0,46.0,42.0,20.0,13.0,29.0,9,47.0,22,10.25,10.75,2.35,4.75,26.5,25.0,7,8,14,18.75,11,4.83,12
58.0,17.0,40.0,38.0,18.0,11.5,26.0,8,43.0,21,9.25,9.75,2.15,4.0,24.5,23.5,6,8,13,17.62,9,4.33,11
61.0,18.0,46.0,42.0,20.0,13.0,29.0,9,50.0,22,11.0,11.5,2.5,4.75,28.0,24.5,8,8,15,18.38,11,4.83,13
58.0,17.0,40.0,38.0,18.0,11.5,26.0,8,42.0,21,9.0,9.5,2.1,4.0,24.0,23.5,6,8,13,17.62,9,4.33,11
57.0,16.0,39.5,35.0,17.0,11.38,25.0,8,44.0,21,9.5,10.0,2.2,3.94,25.0,23.5,5,8,8,17.62,7,4.29,6
57.0,16.0,42.0,33.0,17.0,12.0,25.0,8,44.0,21,9.5,10.0,2.2,4.25,25.0,23.5,5,8,8,17.62,8,4.5,6
55.0,15.0,43.0,43.0,15.0,12.25,23.0,8,45.0,21,9.75,10.25,2.25,4.38,25.5,23.0,7,8,15,17.25,10,4.58,13
56.0,14.0,35.0,30.0,16.0,10.25,24.0,8,42.0,21,9.0,9.5,2.1,3.38,24.0,24.0,5,8,7,18.0,5,3.92,5
